"player","season","Team","TOI","GA","SA","SV_perc","GA_","FA","xGA","FSV_perc","xFSV_perc","d_FSV_perc","GSAA","GSAx"
"AARON.DELL","20162017","S.J",1110.52,37,532,93.05,36,741,46.11,95.14,93.78,1.36,9.05,10.11
"AARON.DELL","20172018","S.J",1522.08,67,775,91.35,66,1050,65.45,93.71,93.77,-0.05,1.04,-0.55
"AARON.DELL","20182019","S.J",1323.28,70,613,88.58,70,857,61.35,91.83,92.84,-1.01,-14.76,-8.65
"ALEXANDAR.GEORGIEV","20182019","NYR",1869.17,91,1056,91.38,91,1465,98.22,93.79,93.3,0.49,4.15,7.22
"ALEX.AULD","20072008","BOS",1172.68,46,554,91.7,46,756,45.04,93.92,94.04,-0.13,4.49,-0.96
"ALEX.AULD","20082009","OTT",2329.28,97,1088,91.08,96,1500,91.33,93.6,93.91,-0.31,2.68,-4.67
"ALEX.AULD","20092010","DAL",1181.01,59,558,89.43,59,805,43.25,92.67,94.63,-1.96,-9.42,-15.75
"ALEX.AULD","20102011","MTL",748.57,33,383,91.38,32,548,36.23,94.16,93.39,0.77,0.38,4.23
"ALEX.STALOCK","20132014","S.J",1251.3,39,570,93.16,39,774,43.41,94.96,94.39,0.57,10.07,4.41
"ALEX.STALOCK","20142015","S.J",1236.5,54,553,90.24,54,751,52.31,92.81,93.03,-0.23,-6.79,-1.69
"ALEX.STALOCK","20172018","MIN",1495.26,71,787,90.98,71,1130,61.31,93.72,94.57,-0.86,-1.91,-9.69
"ALEX.STALOCK","20182019","MIN",1065.1,53,525,89.9,52,731,44.48,92.89,93.91,-1.03,-5.69,-7.52
"AL.MONTOYA","20102011","NYI",1153.78,46,585,92.14,46,841,59.88,94.53,92.88,1.65,4.99,13.88
"AL.MONTOYA","20112012","NYI",1719.71,89,831,89.29,88,1135,81.38,92.25,92.83,-0.58,-17.08,-6.62
"AL.MONTOYA","20132014","WPG",1540.85,59,737,91.99,59,1000,61.24,94.1,93.88,0.22,4.45,2.24
"AL.MONTOYA","20142015","FLA",956.93,47,443,89.39,47,637,41.17,92.62,93.54,-0.92,-9.18,-5.83
"AL.MONTOYA","20152016","FLA",1351.24,49,608,91.94,49,861,52.36,94.31,93.92,0.39,2.78,3.36
"AL.MONTOYA","20162017","MTL",1124.33,50,569,91.21,50,770,48.42,93.51,93.71,-0.21,-0.74,-1.58
"ANDERS.LINDBACK","20102011","NSH",1131.05,49,576,91.49,49,804,44.86,93.91,94.42,-0.51,1.2,-4.14
"ANDERS.LINDBACK","20112012","NSH",792.42,32,364,91.21,32,532,35.05,93.98,93.41,0.57,-0.5,3.05
"ANDERS.LINDBACK","20122013","T.B",1304.19,63,642,90.19,63,915,55.1,93.11,93.98,-0.86,-6.45,-7.9
"ANDERS.LINDBACK","20132014","T.B",1302.31,63,580,89.14,62,852,52.2,92.72,93.87,-1.15,-13.07,-9.8
"ANDERS.LINDBACK","20142015","BUF",890.98,41,542,92.44,41,743,38.23,94.48,94.85,-0.37,5.27,-2.77
"ANDERS.LINDBACK","20152016","ARI",906.14,47,443,89.39,47,613,36.9,92.33,93.98,-1.65,-9.27,-10.1
"ANDERS.NILSSON","20132014","NYI",1096.17,57,545,89.54,57,793,57.82,92.81,92.71,0.1,-10.08,0.82
"ANDERS.NILSSON","20152016","EDM",1413.29,74,745,90.07,74,1035,67.84,92.85,93.45,-0.6,-10.55,-6.16
"ANDERS.NILSSON","20162017","BUF",1484.24,66,858,92.31,64,1193,77.73,94.64,93.48,1.15,8.27,13.73
"ANDERS.NILSSON","20172018","VAN",1463.68,84,850,90.12,84,1154,74.29,92.72,93.56,-0.84,-9.38,-9.71
"ANDERS.NILSSON","20182019","OTT",1320.3,64,745,91.41,63,1044,58.65,93.97,94.38,-0.42,3.13,-4.35
"ANDREI.VASILEVSKIY","20142015","T.B",864.12,34,415,91.81,34,570,32.28,94.04,94.34,-0.3,1.43,-1.72
"ANDREI.VASILEVSKIY","20152016","T.B",1258.63,58,646,91.02,58,902,50.4,93.57,94.41,-0.84,-2.98,-7.6
"ANDREI.VASILEVSKIY","20162017","T.B",2831.09,123,1480,91.69,122,1978,113,93.83,94.29,-0.46,5.12,-9
"ANDREI.VASILEVSKIY","20172018","T.B",3825.19,167,2075,91.95,165,2730,153.21,93.96,94.39,-0.43,15.17,-11.79
"ANDREI.VASILEVSKIY","20182019","T.B",3203.75,128,1713,92.53,128,2294,137.22,94.42,94.02,0.4,26.35,9.22
"ANDREW.HAMMOND","20142015","OTT",1411,42,707,94.06,42,968,56.73,95.66,94.14,1.52,18.35,14.73
"ANDREW.HAMMOND","20152016","OTT",1382.32,61,712,91.43,61,988,63.04,93.83,93.62,0.21,-0.36,2.04
"ANDREW.RAYCROFT","20072008","TOR",944.7,62,497,87.53,62,692,48.11,91.04,93.05,-2.01,-16.7,-13.89
"ANDREW.RAYCROFT","20082009","COL",1656.1,88,811,89.15,87,1152,64.89,92.45,94.37,-1.92,-13.7,-22.11
"ANDREW.RAYCROFT","20092010","VAN",902.19,35,404,91.34,35,572,35.03,93.88,93.88,0.01,0.9,0.03
"ANDREW.RAYCROFT","20102011","DAL",847.16,40,446,91.03,40,600,35.14,93.33,94.14,-0.81,-1.13,-4.86
"ANTERO.NIITTYMAKI","20072008","PHI",1265.2,62,656,90.55,62,876,57.88,92.92,93.39,-0.47,-2.21,-4.12
"ANTERO.NIITTYMAKI","20082009","PHI",1805.18,83,947,91.24,83,1306,85.54,93.64,93.45,0.19,3.76,2.54
"ANTERO.NIITTYMAKI","20092010","T.B",2657.19,127,1387,90.84,124,1888,118.95,93.43,93.7,-0.27,-3.76,-5.05
"ANTERO.NIITTYMAKI","20102011","S.J",1414.45,64,615,89.59,63,869,57.13,92.75,93.43,-0.68,-10.4,-5.87
"ANTON.FORSBERG","20172018","CHI",1714.8,85,921,90.77,85,1199,79.58,92.91,93.36,-0.45,-4.14,-5.42
"ANTON.KHUDOBIN","20122013","BOS",802.99,31,389,92.03,31,530,29.09,94.15,94.51,-0.36,3.27,-1.91
"ANTON.KHUDOBIN","20132014","CAR",2084.08,80,1076,92.57,80,1536,94.92,94.79,93.82,0.97,12.64,14.92
"ANTON.KHUDOBIN","20142015","CAR",1900.35,85,863,90.15,85,1228,82.48,93.08,93.28,-0.21,-11.33,-2.52
"ANTON.KHUDOBIN","20162017","BOS",864.79,38,402,90.55,36,539,34.39,93.32,93.62,-0.3,-3.2,-1.61
"ANTON.KHUDOBIN","20172018","BOS",1780.7,76,876,91.32,75,1213,76.08,93.82,93.73,0.09,0.91,1.08
"ANTON.KHUDOBIN","20182019","DAL",2219.5,95,1232,92.29,95,1678,101.4,94.34,93.96,0.38,16.01,6.4
"ANTTI.NIEMI","20092010","CHI",2185.92,82,933,91.21,80,1247,82.64,93.58,93.37,0.21,0.9,2.64
"ANTTI.NIEMI","20102011","S.J",3523.93,140,1741,91.96,140,2380,139.1,94.12,94.16,-0.04,11.75,-0.9
"ANTTI.NIEMI","20112012","S.J",3915.77,159,1850,91.41,158,2609,153.58,93.94,94.11,-0.17,1.12,-4.42
"ANTTI.NIEMI","20122013","S.J",2580.76,93,1220,92.38,93,1717,103.83,94.58,93.95,0.63,14.46,10.83
"ANTTI.NIEMI","20132014","S.J",3720.27,145,1680,91.37,144,2392,139.8,93.98,94.16,-0.18,-0.36,-4.2
"ANTTI.NIEMI","20142015","S.J",3567.92,155,1796,91.37,154,2510,152.16,93.86,93.94,-0.07,-1.68,-1.84
"ANTTI.NIEMI","20152016","DAL",2634.37,117,1232,90.5,116,1779,116,93.48,93.48,0,-12.08,0
"ANTTI.NIEMI","20162017","DAL",1728.5,95,881,89.22,95,1255,85.01,92.43,93.23,-0.8,-18.74,-9.99
"ANTTI.NIEMI","20172018","MTL",1026.27,42,592,92.91,42,845,55.67,95.03,93.41,1.62,9.97,13.67
"ANTTI.NIEMI","20182019","MTL",968.8,61,540,88.7,61,717,43.24,91.49,93.97,-2.48,-12.34,-17.76
"ANTTI.RAANTA","20132014","CHI",1376.67,63,601,89.52,61,814,53.14,92.51,93.47,-0.97,-11.26,-7.86
"ANTTI.RAANTA","20142015","CHI",792.16,25,389,93.57,24,516,29.34,95.35,94.31,1.03,8.21,5.34
"ANTTI.RAANTA","20152016","NYR",1150.35,43,530,91.89,43,744,51.55,94.22,93.07,1.15,2.14,8.55
"ANTTI.RAANTA","20162017","NYR",1617.33,61,782,92.2,61,1082,68.19,94.36,93.7,0.66,6.69,7.19
"ANTTI.RAANTA","20172018","ARI",2599.06,97,1388,93.01,96,2013,120.99,95.23,93.99,1.24,24.86,24.99
"ANTTI.RAANTA","20182019","ARI",687.1,33,351,90.6,33,505,32.5,93.47,93.56,-0.1,-1.37,-0.5
"BEN.BISHOP","20122013","OTT",753.2,31,399,92.23,31,542,31.85,94.28,94.12,0.16,4.15,0.85
"BEN.BISHOP","20132014","T.B",3586.31,133,1759,92.44,132,2472,146.09,94.66,94.09,0.57,18.44,14.09
"BEN.BISHOP","20142015","T.B",3499.04,134,1606,91.66,132,2234,131.09,94.09,94.13,-0.04,3.1,-0.91
"BEN.BISHOP","20152016","T.B",3579.62,123,1671,92.64,122,2333,129.2,94.77,94.46,0.31,19.31,7.2
"BEN.BISHOP","20162017","T.B",1812.55,77,870,91.15,77,1220,73.54,93.69,93.97,-0.28,-1.69,-3.46
"BEN.BISHOP","20172018","DAL",2886.77,120,1433,91.63,120,1975,121.02,93.92,93.87,0.05,5.81,1.02
"BEN.BISHOP","20182019","DAL",2637.3,87,1323,93.42,87,1826,107.03,95.24,94.14,1.1,32.21,20.03
"BEN.SCRIVENS","20112012","TOR",671.62,35,359,90.25,35,509,34.09,93.12,93.3,-0.18,-3.93,-0.91
"BEN.SCRIVENS","20122013","TOR",1024.83,46,542,91.51,46,760,42.63,93.95,94.39,-0.44,1.74,-3.37
"BEN.SCRIVENS","20132014","EDM",1234.87,62,741,91.63,62,1047,66.12,94.08,93.68,0.39,1.8,4.12
"BEN.SCRIVENS","20132014","L.A",975.22,32,464,93.1,32,652,39.83,95.09,93.89,1.2,7.95,7.83
"BEN.SCRIVENS","20142015","EDM",3226.44,169,1540,89.03,168,2164,137.96,92.24,93.62,-1.39,-37.54,-30.04
"BEN.SCRIVENS","20152016","MTL",821.96,42,447,90.6,42,594,37.64,92.93,93.66,-0.73,-3.93,-4.36
"BRADEN.HOLTBY","20122013","WSH",2089.25,90,1123,91.99,89,1477,89.08,93.97,93.97,0.01,8.92,0.08
"BRADEN.HOLTBY","20132014","WSH",2656.36,126,1475,91.46,126,2015,123.03,93.75,93.89,-0.15,0.99,-2.97
"BRADEN.HOLTBY","20142015","WSH",4227.48,156,2034,92.33,155,2815,167.59,94.49,94.05,0.45,17.64,12.59
"BRADEN.HOLTBY","20152016","WSH",3841.18,141,1803,92.18,141,2553,155.04,94.48,93.93,0.55,12.55,14.04
"BRADEN.HOLTBY","20162017","WSH",3680.13,127,1690,92.49,127,2413,154.29,94.74,93.61,1.13,19.29,27.29
"BRADEN.HOLTBY","20172018","WSH",3067.56,153,1648,90.72,151,2336,150.05,93.54,93.58,-0.04,-8.32,-0.95
"BRADEN.HOLTBY","20182019","WSH",3406.57,160,1795,91.09,160,2552,166.75,93.73,93.47,0.26,1.74,6.75
"BRENT.JOHNSON","20072008","WSH",1032,46,500,90.8,46,646,40.96,92.88,93.66,-0.78,-0.43,-5.04
"BRENT.JOHNSON","20082009","WSH",1131.14,53,579,90.85,53,779,46.58,93.2,94.02,-0.82,0.05,-6.42
"BRENT.JOHNSON","20092010","PIT",1043.12,49,512,90.43,49,692,44.62,92.92,93.55,-0.63,-3.51,-4.38
"BRENT.JOHNSON","20102011","PIT",1296.7,47,604,92.22,46,868,51.19,94.7,94.1,0.6,5.64,5.19
"BRIAN.BOUCHER","20082009","S.J",1286.39,47,558,91.58,46,758,50.5,93.93,93.34,0.59,4.12,4.5
"BRIAN.BOUCHER","20092010","PHI",1742.03,80,796,89.95,80,1098,69.58,92.71,93.66,-0.95,-9.27,-10.42
"BRIAN.BOUCHER","20102011","PHI",1884.58,76,902,91.57,76,1285,75.75,94.09,94.11,-0.02,2.62,-0.25
"BRIAN.ELLIOTT","20082009","OTT",1667.04,77,786,90.2,75,1055,62.75,92.89,94.05,-1.16,-4.99,-12.25
"BRIAN.ELLIOTT","20092010","OTT",3037.92,130,1423,90.86,129,1937,116.07,93.34,94.01,-0.67,-3.56,-12.93
"BRIAN.ELLIOTT","20102011","OTT",2292.95,122,1147,89.36,122,1569,98.04,92.22,93.75,-1.53,-22.03,-23.96
"BRIAN.ELLIOTT","20102011","COL",690.16,44,404,89.11,43,557,37.36,92.28,93.29,-1.01,-8.79,-5.64
"BRIAN.ELLIOTT","20112012","STL",2214.39,58,966,94,58,1356,76.76,95.72,94.34,1.38,25.61,18.76
"BRIAN.ELLIOTT","20122013","STL",1251.88,48,508,90.55,48,722,43.76,93.35,93.94,-0.59,-3.25,-4.24
"BRIAN.ELLIOTT","20132014","STL",1624.25,53,681,92.22,53,987,57.7,94.63,94.15,0.48,5.63,4.7
"BRIAN.ELLIOTT","20142015","STL",2545.79,96,1150,91.65,95,1613,91.65,94.11,94.32,-0.21,2.17,-3.35
"BRIAN.ELLIOTT","20152016","STL",2263,78,1114,93,77,1546,100.7,95.02,93.49,1.53,16.87,23.7
"BRIAN.ELLIOTT","20162017","CGY",2824.39,121,1331,90.91,118,1803,114.14,93.46,93.67,-0.21,-5.78,-3.86
"BRIAN.ELLIOTT","20172018","PHI",2521.98,112,1228,90.88,110,1734,104.29,93.66,93.99,-0.33,-4.19,-5.71
"BRIAN.ELLIOTT","20182019","PHI",1356.72,67,724,90.75,67,987,64.91,93.21,93.42,-0.21,-1.76,-2.09
"CALVIN.PICKARD","20142015","COL",895.09,35,511,93.15,35,700,43.96,95,93.72,1.28,8.62,8.96
"CALVIN.PICKARD","20152016","COL",980.42,42,537,92.18,42,745,48.46,94.36,93.5,0.87,3.73,6.46
"CALVIN.PICKARD","20162017","COL",2800.24,140,1449,90.34,140,1975,114.75,92.91,94.19,-1.28,-14.57,-25.25
"CAM.TALBOT","20132014","NYR",1210.66,33,560,94.11,32,780,48.11,95.9,93.83,2.07,15.21,16.11
